conceptType,conceptUri,code,preferredLabel,greenShare
Occupation,http://data.europa.eu/esco/occupation/68ad860f-c5cd-420f-840f-993e3e813508,7543.7.2,kontroler jakości wyrobów użytkowych,0.0
Occupation,http://data.europa.eu/esco/occupation/1c25fdb4-c6e2-4118-99a5-519e9657a2bd,7543.7.3,kontroler jakości sprzętu elektrycznego,0.0888888888888888
Occupation,http://data.europa.eu/esco/occupation/2296fa07-98ae-4875-b18d-96ed86134ffb,7543.7.4,kontroler jakości sprzętu elektronicznego,0.0277777777777777
Occupation,http://data.europa.eu/esco/occupation/9a903a4a-282d-4724-a7de-1918b41d2965,7543.7.5,inspektor montażu pojazdów,0.0232558139534883
Occupation,http://data.europa.eu/esco/occupation/c5b45ebe-0e9f-4bc4-9563-7fdf31115e53,7543.7.6,inspektor montażu taboru kolejowego,0.0
Occupation,http://data.europa.eu/esco/occupation/a464015d-a622-44aa-a4fe-bf01e412e120,7543.7.7,inspektor budownictwa okrętowego,0.0
Occupation,http://data.europa.eu/esco/occupation/753939ad-b03e-47cd-913b-56f30b5ae8fc,7543.7,inspektor montażu wyrobów,0.0
Occupation,http://data.europa.eu/esco/occupation/3027abf6-bc54-4709-8dc1-4f20b772ac70,7543.8.1,klasyfikator wyrobów drewnopochodnych,0.0
Occupation,http://data.europa.eu/esco/occupation/ad7bbc92-d5cb-4b64-a1a3-efc593afd437,7543.8.2,klasyfikator drewna,0.0
Occupation,http://data.europa.eu/esco/occupation/3594efa8-cd69-411e-a345-d88ba756b758,7543.8.3,klasyfikator pulpy papierniczej,0.0465116279069767
Occupation,http://data.europa.eu/esco/occupation/cc8f929a-75fa-404d-aa17-3301fb494b4f,7543.8,klasyfikator wyrobów przemysłowych,0.0232558139534883
Occupation,http://data.europa.eu/esco/occupation/2b48a4cd-2333-4abf-ac3e-6f63d6ed3663,7543.9.1,kontroler jakości obuwia,0.0769230769230769
Occupation,http://data.europa.eu/esco/occupation/371885b5-0f93-406f-b96a-58ecd5bbc3ce,7543.9.2,kontroler jakości wyrobów skórzanych,0.0666666666666666
Occupation,http://data.europa.eu/esco/occupation/c0a35355-be44-44c0-82d2-acf8363ed45e,7543.9.3,kontroler jakości wyrobów metalowych,0.0126582278481012
Occupation,http://data.europa.eu/esco/occupation/b0ad8659-0410-4b5b-9466-a90f8b3cdac9,7543.9,kontroler jakości wyrobów,0.0
Occupation,http://data.europa.eu/esco/occupation/d3de3205-dd5c-4112-86bc-161e41cd77a5,7543.10.1,kontroler jakości cygar,0.0
Occupation,http://data.europa.eu/esco/occupation/381b9a17-521c-4702-b7d9-2059bbd8ce76,7543.10.2,inspektor jakości konfekcji,0.0
Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,7543.10.3,inspektor jakości instrumentów precyzyjnych,0.0232558139534883
Occupation,http://data.europa.eu/esco/occupation/85fdd1cb-98d3-4c40-a868-1078ce770440,7543.10.4,inspektor jakości wyrobów tekstylnych,0.0232558139534883
Occupation,http://data.europa.eu/esco/occupation/61d9270c-491d-438d-8d41-77ba2e0ef023,7543.10,inspektor jakości,0.0
Occupation,http://data.europa.eu/esco/occupation/b9c80d74-97b6-4a4b-849e-a3908ba57ae1,7543.11,klasyfikator fornirów,0.0
ISCO level 4,http://data.europa.eu/esco/isco/C7543,7543,Klasyfikatorzy i testerzy produktów (z wyłączeniem żywności i napojów),0.021167414895126295
Occupation,http://data.europa.eu/esco/occupation/509f9452-ed18-4fbf-8a4c-d45de85aa2f7,7544.1.1,pracownik ochrony roślin,0.11904761904761904
Occupation,http://data.europa.eu/esco/occupation/21cba86a-68c5-456c-aec2-cc04840b3c0e,7544.1,"pracownik deratyzacji, dezynfekcji i dezynsekcji",0.129032258064516
