conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,regulatedProfessionNote,scopeNote,definition,inScheme,description,code,naceCode
Occupation,http://data.europa.eu/esco/occupation/d9723f33-7faf-4f8a-8a98-6b02d1e10f2b,2411,syndyk masy upadłościowej,"syndyk
doradca restrukturyzacyjny",,released,2024-01-16T14:33:42.367Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Syndycy masy upadłościowej zarządzają upadłością klienta, prowadzą dochodzenie w sprawie dokumentacji prawnej dotyczącej możliwości nadużyć finansowych i zarządzają środkami pieniężnymi otrzymanymi ze sprzedaży nieruchomości niepodlegającej zwolnieniu, w celu ich podziału na wierzytelności wierzycieli.",2411.1.3,"http://data.europa.eu/ux2/nace2.1/692,
http://data.europa.eu/ux2/nace2.1/663"
Occupation,http://data.europa.eu/esco/occupation/d97fd1e8-4c61-459b-82cd-1bd0e792c568,9312,monter torów kolejowych,,,released,2024-01-16T13:30:03.323Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Monterzy torów kolejowych budują tory kolejowe na przygotowanych miejscach. Monitorują oni sprzęt, który ustawia podkłady kolejowe lub cięgna, zazwyczaj na warstwie rozdrobnionego kamienia lub balastu. Monterzy torów kolejowych układają tory kolejowe na podkładach i łączą je, aby upewnić się, że szyny mają stałą szerokość torów lub odległość między sobą. Czynności te są zwykle wykonywane za pomocą jednej ruchomej maszyny, ale mogą być wykonywane ręcznie.",9312.1.2,http://data.europa.eu/ux2/nace2.1/4212
Occupation,http://data.europa.eu/esco/occupation/d99e2022-cbe1-4aaa-8f9d-7db129d61f0c,3132,technik oczyszczania ścieków,,,released,2024-01-26T09:50:16.526Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Technicy oczyszczania ścieków pomagają podmiotom zajmującym się oczyszczaniem ścieków w obsłudze i utrzymaniu w ruchu maszyn i urządzeń do uzdatniania wody ściekowej oraz w procesie oczyszczania ścieków w oczyszczalniach ścieków. Wykonują naprawy.,3132.5,http://data.europa.eu/ux2/nace2.1/370
Occupation,http://data.europa.eu/esco/occupation/d9ab0f3d-078d-42a7-a502-3e739e0aeff6,7421,technik awionik,,,released,2024-01-25T14:26:30.238Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Technicy awionicy instalują, testują, kontrolują i regulują sprzęt elektryczny i elektroniczny, taki jak systemy nawigacji, łączności i sterowania lotem, w samolotach i statkach kosmicznych. Wykonują prace konserwacyjne i naprawy. Przeprowadzają testy funkcjonowania, diagnozują problemy i podejmują działania naprawcze.",7421.2,"http://data.europa.eu/ux2/nace2.1/3318,
http://data.europa.eu/ux2/nace2.1/3316"
Occupation,http://data.europa.eu/esco/occupation/d9e4581a-91b3-47f9-a2d5-70eb542caac5,8183,operator urządzeń do wykańczania i pakowania obuwia,,,released,2025-06-25T07:45:00.959Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Operatorzy urządzeń do wykańczania i pakowania obuwia stosują różne techniki w celu zapewnienia właściwego ostatecznego wyglądu zapakowanych par obuwia, które są przeznaczone do sprzedaży. Działają zgodnie z otrzymanymi od przełożonego informacjami na temat butów, które mają zostać wykończone, środków i materiałów, które mają zostać użyte, oraz kolejności działań.
    ",8183.4,http://data.europa.eu/ux2/nace2.1/152
Occupation,http://data.europa.eu/esco/occupation/d9f67d41-5e35-49c1-82a4-05ed94fbc3ab,3359,inspektor do spraw miar i wag,,,released,2024-01-26T11:20:31.494Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Inspektorzy ds. miar i wag zapewniają zgodność z przepisami i umowami dotyczącymi miar i wag towarów pakowanych. Badają i dokumentują oni kwestie zgodności i naruszenia w celu wspierania najlepszych praktyk. Inspektorzy ds. miar i wag potwierdzają, że towary pakowane są zgodne z umowami co do ilości, zawartości i opakowania.",3359.8,http://data.europa.eu/ux2/nace2.1/8413
Occupation,http://data.europa.eu/esco/occupation/d9fb82d0-9b07-4c38-b8e2-d146ff8850b9,5223,sprzedawca ściennych i podłogowych materiałów wykończeniowych,sprzedawczyni ściennych i podłogowych materiałów wykończeniowych,,released,2016-07-05T17:15:03Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Sprzedawcy ściennych i podłogowych materiałów wykończeniowych sprzedają ścienne i podłogowe materiały wykończeniowe w wyspecjalizowanych sklepach.,5223.7.17,http://data.europa.eu/ux2/nace2.1/4753
Occupation,http://data.europa.eu/esco/occupation/da00cd76-22fe-450d-aefc-f4e4a3864171,8212,monter obwodów drukowanych,monter płytek obwodów drukowanych,,released,2024-01-24T09:27:55.545Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Monterzy obwodów drukowanych zapoznają się z planami i rysunkami w celu montowania płytek obwodów drukowanych. Wykorzystują narzędzia do lutowania ręcznego i automatycznego oraz maszyny do łączenia komponentów elektronicznych na płytce.,8212.3.5,http://data.europa.eu/ux2/nace2.1/2612
Occupation,http://data.europa.eu/esco/occupation/da4589ce-7534-4cc1-9ce4-cabf9364b87c,2643,tłumacz-lokalizator,"lokalizator gier komputerowych
lokalizator oprogramowania
tester lokalizacji",,released,2024-01-26T14:07:11.923Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Tłumacze-lokalizatorzy przekładają i dostosowują teksty do języka i kultury konkretnej grupy docelowej. Tłumaczenie standardowe przekształcają na język zrozumiały lokalnie, z zachowaniem cech kultury, powiedzeń i innych niuansów, które sprawiają, że tłumaczenie jest dla kulturowej grupy docelowej bogatsze i bardziej zrozumiałe niż wcześniej.",2643.6.1,http://data.europa.eu/ux2/nace2.1/743
Occupation,http://data.europa.eu/esco/occupation/da6220cb-21ee-4076-8796-1e922b44c394,3115,specjalista ds. kontroli silników jednostek pływających,,,released,2024-01-16T13:13:54.756Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Specjaliści ds. kontroli silników jednostek pływających przeprowadzają inspekcje silników statków i łodzi, takich jak silniki elektryczne, reaktory jądrowe, silniki turbospalinowe, silniki przyczepne, dwusuwowe lub czterosuwowe silniki Diesla, LNG, silniki z zasilaniem dwupaliwowym oraz, w niektórych przypadkach, okrętowe silniki parowe, w zakładach montażowych w celu zapewnienia zgodności z normami i przepisami bezpieczeństwa. Przeprowadzają inspekcje okresowe, po przeglądzie, przed przekazaniem do eksploatacji i powypadkowe. Dostarczają dokumentację dotyczącą działań naprawczych i wsparcia technicznego dla centrów obsługi technicznej i napraw. Prowadzą przeglądy rejestrów administracyjnych, analizują efektywność operacyjną silników i zgłaszają swoje ustalenia.",3115.1.22,"http://data.europa.eu/ux2/nace2.1/712,
http://data.europa.eu/ux2/nace2.1/301"
